entry,date,distance,attempt,type,stroke,suited,5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
1,03/06/2026,25,1,dive,FS,Y,,4.0,6.7,9.3,11.8,,,,,
2,03/06/2026,25,2,dive,FS,Y,,4.1,6.8,9.4,11.9,,,,,
3,03/06/2026,25,3,dive,FS,Y,,4.0,6.6,9.3,11.8,,,,,
4,03/06/2026,25,4,dive,FS,Y,,4.05,6.69,9.41,12.09,,,,,
5,31/05/2026,25,1,dive,FS,N,,4.4,7.1,9.9,12.5,,,,,
6,31/05/2026,25,2,dive,FS,N,,4.9,7.6,9.9,12.68,,,,,
7,24/05/2026,25,1,dive,FS,Y,,,,,11.9,,,,,
8,26/05/2026,25,1,dive,FS,Y,,4.8,6.8,9.6,12.2,,,,,
9,26/05/2026,25,2,dive,FS,Y,,4.3,7.4,9.7,12.2,,,,,
10,26/05/2026,25,3,dive,FS,N,,4.3,6.9,9.6,12.2,,,,,
11,26/05/2026,25,4,dive,FS,N,,4.1,6.8,9.6,12.3,,,,,
12,26/05/2026,25,5,dive,FS,N,,4.1,6.8,9.6,12.3,,,,,
13,26/05/2026,25,6,dive,FS,N,,4.2,6.9,9.6,12.3,,,,,
14,28/05/2026,20,1,dive,FS,N,,4.6,,10.1,,,,,,
15,28/05/2026,20,2,dive,FS,N,,4.5,,10.1,,,,,,
16,05/06/2026,10,1,dive,glide,N,,5.2,,,,,,,,
17,05/06/2026,10,2,dive,glide,N,,4.7,,,,,,,,
18,05/06/2026,10,3,dive,FS,N,,4.1,,,,,,,,
19,05/06/2026,10,4,dive,FS,N,,4.0,,,,,,,,
